index,cell_id,DL_TRAFFIC_VOLUME,UL_TRAFFIC_VOLUME,INTRA_FREQ_HO_SR_RATIO,RRC_SR_RATIO,CELL_AVAILABILITY_RATIO,UL_THROUGHPUT_RATIO,DCR_LTE_RATIO,CSSR_LTE_RATIO,DL_THROUGHPUT_RATIO,HOUR
2021-05-09 12:00:00,3.8447326973958944e+17,175752151232.0,13361554288.0,1.0,1.0,1.0,4.319065265431804,0.0005753739930955121,1.0,28.225363576391025,12
2021-05-09 13:00:00,3.8447326973958944e+17,220250198576.0,10345590800.0,1.0,1.0,1.0,3.0070551781071164,0.000185563184264242,0.9987146529562982,25.879140551596127,13
2021-05-09 14:00:00,3.8447326973958944e+17,181644408104.0,7992889296.0,1.0,1.0,1.0,2.3682020158850894,0.0009094216078574025,1.0,24.45620185374136,14
2021-05-09 15:00:00,3.8447326973958944e+17,250491354440.0,9914957512.0,0.9523809523809524,0.9997835029227106,1.0,2.6114734273193454,0.00032594524119947853,0.9996775753667579,21.02181929745668,15
2021-05-09 16:00:00,3.8447326973958944e+17,226520553368.0,10110395680.0,1.0,1.0,1.0,2.9789926665174167,0.0020896961903230987,0.9988880063542496,21.321506027777964,16
2021-05-09 17:00:00,3.8447326973958944e+17,236355587432.0,12766231856.0,1.0,0.9998108210367008,1.0,3.489561368210875,0.0024216524216524216,0.9997191405701448,17.864274620771344,17
2021-05-09 18:00:00,3.8447326973958944e+17,242940563936.0,11532172440.0,1.0,1.0,1.0,3.246253712586782,0.0012913223140495868,0.9994925145902056,17.618960071474206,18
2021-05-09 19:00:00,3.8447326973958944e+17,275588738632.0,22481429424.0,1.0,1.0,1.0,3.4618949746277217,0.0019276393831553973,0.9994274262811336,8.198179624801472,19
2021-05-09 20:00:00,3.8447326973958944e+17,280339989680.0,25050667800.0,0.9791666666666666,1.0,1.0,2.6859893866562445,0.001151505181773318,1.0,4.919164549708786,20
2021-05-09 21:00:00,3.8447326973958944e+17,258594581360.0,20822519184.0,0.9863013698630136,1.0,1.0,2.903568886074729,0.0011534025374855825,0.9995215311004784,8.912259679859211,21
2021-05-09 22:00:00,3.8447326973958944e+17,279469189064.0,27462816960.0,0.9852941176470588,1.0,1.0,3.599796513496909,0.0012372409526755336,0.9995461422087746,8.017568494078402,22
2021-05-09 23:00:00,3.8447326973958944e+17,302039407664.0,31396669440.0,1.0,1.0,1.0,4.185620112724808,0.0017566272756307886,0.99984555984556,7.337155544445458,23
2021-05-10 00:00:00,3.8447326973958944e+17,310539061000.0,25754353296.0,1.0,0.999770694794772,1.0,3.6009909008019734,0.00261437908496732,0.9995226730310264,6.2248154478839455,0
2021-05-10 01:00:00,3.8447326973958944e+17,319680991952.0,24879117008.0,1.0,0.999778712104448,1.0,3.4020567342127763,0.0015951507417450946,0.9993773349937732,6.520404716609862,1
2021-05-10 02:00:00,3.8447326973958944e+17,315968448112.0,33710015624.0,1.0,0.9997731911998186,1.0,4.1806141975062685,0.002090368226402959,0.9993660855784468,3.4197040996579244,2
2021-05-10 03:00:00,3.8447326973958944e+17,311161540176.0,37775772576.0,1.0,1.0,1.0,4.854350406614845,0.002218700475435816,0.9993714644877436,5.360245459588211,3
2021-05-10 04:00:00,3.8447326973958944e+17,312125197536.0,58555441856.0,1.0,1.0,1.0,6.315882746387754,0.0003473428273706148,0.9993165897830172,4.183317234922877,4
