index;cell_id;DL_TRAFFIC_VOLUME;UL_TRAFFIC_VOLUME;Inter_X2_based_HO_prep;PDCP_SDU_Volume_DL;VoLTE_total_traffic;INTRA_FREQ_HO_SR_RATIO;RRC_SR_RATIO;Intra_eNB_HO_SR_total_RATIO;E_UTRAN_RRC_Conn_Stp_Failure_due_RRC_timer_expiry_RATIO;CELL_AVAILABILITY_RATIO;RACH_Stp_Completion_SR_RATIO;Total_E_UTRAN_RRC_Conn_Stp_SR_RATIO;Inter_RAT_HO_SR_UTRAN_SRVCC_RATIO;UL_THROUGHPUT_RATIO;E_RAB_QCI1_DR_RATIO;DCR_LTE_RATIO;CSSR_LTE_RATIO;LTE_INTER_ENODEB_HOSR_RATIO;E_UTRAN_Inter_Freq_HO_SR_RATIO;Inter_RAT_HO_SR_GERAN_SRVCC_RATIO;Inter_RAT_Total_HO_SR_RATIO;E_UTRAN_tot_HO_SR_inter_eNB_X2_RATIO;DL_THROUGHPUT_RATIO;E_RAB_DR_RATIO
30/05/2021 03:00;4.262775046883192e+17;35114288927.0;2161263408.0;128.0;35114288927.0;5269.0;1.0;0.9998024788899313;1.0;0.0001975211100686386;1.0;0.9763598703170029;0.9998024788899313;;18.763671875;0.0;0.0003718980323213199;0.997293142627991;0.9921875;1.0;;;0.9921875;76.49889216947466;0.0003718854592785422
30/05/2021 04:00;4.262775046883192e+17;35766475228.0;2168666025.0;84.0;35766475228.0;1268.0;1.0;0.9996658551720846;1.0;0.0003341448279154136;1.0;0.9955010224948875;0.9996658551720846;;18.8212890625;0.0;0.00019447685725398678;0.9992925817550403;0.9880952380952381;1.0;1.0;1.0;0.9880952380952381;77.89450629712722;0.00019447685725398678
30/05/2021 05:00;4.262775046883192e+17;38526507876.0;2398140454.0;141.0;38526507876.0;700.0;1.0;0.9998138755758225;1.0;0.0001861244241775627;1.0;1.0;0.9998138755758225;1.0;20.8134765625;0.0;0.0009256894790602656;0.9995582341989839;0.9929078014184397;1.0;1.0;1.0;0.9929078014184397;83.93749085819788;0.0009256894790602656
30/05/2021 06:00;4.262775046883192e+17;35902303577.0;2951959355.0;245.0;35902303577.0;1147.0;1.0;0.9996714174230912;1.0;0.00024643693268164453;1.0;0.9639794168096055;0.9996714174230912;0.0;25.6279296875;0.02857142857142857;0.0007251429368288942;0.9995043370508054;1.0;1.0;1.0;0.7142857142857143;1.0;78.29642016187944;0.0007251429368288942
30/05/2021 07:00;4.262775046883192e+17;38456830055.0;2170806230.0;284.0;38456830055.0;2576.0;0.997134670487106;0.9996093919534742;0.997134670487106;0.00047740983464259363;1.0;0.9494953257104548;0.9996093919534742;;18.83984375;0.0;0.0003232251998119417;0.9996226086451651;0.9964788732394366;0.9977011494252873;1.0;1.0;0.9964788732394366;83.80456779733866;0.0003232251998119417
30/05/2021 08:00;4.262775046883192e+17;38081722883.0;2867408397.0;329.0;38081722883.0;4019.0;0.9959514170040485;0.9997476765213003;0.9959514170040485;0.000252323478699693;1.0;0.935475763016158;0.9997476765213003;0.0;24.8935546875;0.00847457627118644;0.0007388462631429384;0.999296012615454;1.0;0.9968847352024922;1.0;0.8;1.0;83.01999980562701;0.0007388462631429384
30/05/2021 09:00;4.262775046883192e+17;38881957786.0;3462488580.0;347.0;38881957786.0;9505.0;1.0;0.9997138301786518;1.0;0.00028616982134826866;1.0;0.9378540952647408;0.9997138301786518;0.0;30.0517578125;0.0;0.0011445799949750147;0.9995023087344818;0.9452449567723343;0.9592875318066157;1.0;0.75;0.9452449567723343;84.80111063709018;0.0011445799949750147
30/05/2021 10:00;4.262775046883192e+17;38724354863.0;3009345522.0;310.0;38724354863.0;6396.0;0.9903846153846154;0.999642138224111;0.9903846153846154;0.00031312905390293;1.0;0.9545437153242778;0.999642138224111;;26.1181640625;0.0;0.0008858478174542567;0.9994274694148135;0.9741935483870968;0.9794344473007712;0.9166666666666666;0.9166666666666666;0.9741935483870968;84.41684630333128;0.0008858478174542567
30/05/2021 11:00;4.262775046883192e+17;37582371107.0;2789730995.0;250.0;37582371107.0;5423.0;0.9891304347826086;0.9994877923851802;0.9891304347826086;0.0005548915827215298;1.0;0.9770478537536322;0.9994877923851802;0.0;24.21875;0.0;0.0007285868329787544;0.999682567165902;0.992;1.0;1.0;0.6666666666666666;0.992;81.97922245104779;0.0007285868329787544
30/05/2021 12:00;4.262775046883192e+17;37430951181.0;3557068496.0;211.0;37430951181.0;6494.0;0.9937694704049844;0.9995845921450152;0.9937694704049844;0.00041540785498489426;1.0;0.9596319382606114;0.9995845921450152;0.0;30.8720703125;0.015151515151515152;0.0008870105136834416;0.9991483651190999;0.990521327014218;1.0;1.0;0.6666666666666666;0.990521327014218;81.71285451387877;0.0008870105136834416
